timestamp,price,regime,regime_confidence,strategy,strategy_confidence,signal,causal_sentiment,position,portfolio_value
2025-09-18 04:00:00,117086.01,Lateral/Consolidación,0.0,momentum,0.56108826,1.0,0.2,long,495.87513279999996
2025-09-18 08:00:00,117063.4,Lateral/Consolidación,0.0,mean_reversion,0.6779494,0.0,0.0,long,495.8525228
2025-09-18 12:00:00,117583.56,Lateral/Consolidación,0.0,momentum,0.7022007,1.0,0.0,long,496.3726828
2025-09-18 16:00:00,117450.21,Tendencia Bajista,0.0,momentum,0.66551435,1.0,0.0,long,496.2393328
2025-09-18 20:00:00,117073.53,Tendencia Alcista,0.0,momentum,0.7781815,1.0,0.0,long,495.8626528
2025-09-19 00:00:00,116977.58,Tendencia Alcista,0.0,mean_reversion,0.575684,0.0,0.0,long,495.76670279999996
2025-09-19 04:00:00,116909.97,Alta Volatilidad/Pánico,0.0,momentum,0.53764117,1.0,0.0,long,495.69909279999996
2025-09-19 08:00:00,116394.72,Lateral/Consolidación,0.0,mean_reversion,0.75095236,0.0,0.0,long,495.1838428
2025-09-19 12:00:00,115884.03,Lateral/Consolidación,0.0,mean_reversion,0.53545654,0.0,0.0,long,494.67315279999997
2025-09-19 16:00:00,115125.12,Lateral/Consolidación,0.0,momentum,0.51418775,1.0,0.0,long,493.91424279999995
2025-09-19 20:00:00,115632.38,Alta Volatilidad/Pánico,0.0,momentum,0.5134324,1.0,0.0,long,494.4215028
2025-09-20 00:00:00,115445.0,Tendencia Bajista,0.0,mean_reversion,0.7728497,0.0,0.0,long,494.23412279999997
2025-09-20 04:00:00,115968.56,Alta Volatilidad/Pánico,0.0,mean_reversion,0.5701007,0.0,0.0,long,494.7576828
2025-09-20 08:00:00,115894.06,Lateral/Consolidación,0.0,mean_reversion,0.7972044,0.0,0.0,long,494.68318279999994
2025-09-20 12:00:00,115986.69,Tendencia Bajista,0.0,momentum,0.6208304,1.0,0.0,long,494.7758128
2025-09-20 16:00:00,115702.0,Tendencia Bajista,0.0,mean_reversion,0.5216557,0.0,-0.3,long,494.49112279999997
2025-09-20 20:00:00,115685.63,Tendencia Bajista,0.0,momentum,0.6787022,-1.0,-0.3,long,494.4747528
2025-09-21 00:00:00,115669.41,Lateral/Consolidación,0.0,mean_reversion,0.60150504,0.0,-0.3,long,494.45853279999994
2025-09-21 04:00:00,115815.97,Alta Volatilidad/Pánico,0.0,momentum,0.6801832,-1.0,-0.3,long,494.60509279999997
2025-09-21 08:00:00,115603.45,Alta Volatilidad/Pánico,0.0,momentum,0.5749355,-1.0,-0.3,long,494.3925728
2025-09-21 12:00:00,115531.61,Tendencia Alcista,0.0,momentum,0.7794803,-1.0,-0.3,long,494.3207328
2025-09-21 16:00:00,115480.05,Lateral/Consolidación,0.0,momentum,0.6404647,-1.0,0.0,long,494.2691728
2025-09-21 20:00:00,115232.29,Tendencia Bajista,0.0,momentum,0.5939184,-1.0,0.0,long,494.02141279999995
2025-09-22 00:00:00,114649.89,Tendencia Bajista,0.0,momentum,0.5871926,-1.0,0.0,long,493.4390128
2025-09-22 04:00:00,112519.99,Tendencia Alcista,0.0,momentum,0.6699073,-1.0,0.0,long,491.3091128
2025-09-22 08:00:00,112876.97,Tendencia Bajista,0.0,momentum,0.7476404,-1.0,-0.3,long,491.6660928
2025-09-22 12:00:00,112815.5,Alta Volatilidad/Pánico,0.0,mean_reversion,0.7134233,1.0,-0.3,long,491.60462279999996
2025-09-22 16:00:00,112122.9,Alta Volatilidad/Pánico,0.0,mean_reversion,0.58579886,1.0,-0.3,long,490.9120228
2025-09-22 20:00:00,112650.99,Lateral/Consolidación,0.0,mean_reversion,0.6052201,1.0,-0.3,long,491.44011279999995
2025-09-23 00:00:00,112339.99,Lateral/Consolidación,0.0,momentum,0.60237277,-1.0,-0.3,long,491.1291128
2025-09-23 04:00:00,113090.13,Tendencia Bajista,0.0,mean_reversion,0.63061863,0.0,-0.3,long,491.87925279999996
2025-09-23 08:00:00,112975.99,Tendencia Bajista,0.0,mean_reversion,0.5515833,0.0,-0.3,long,491.7651128
2025-09-23 12:00:00,112882.19,Tendencia Alcista,0.0,momentum,0.7356937,-1.0,-0.3,long,491.6713128
2025-09-23 16:00:00,111655.29,Alta Volatilidad/Pánico,0.0,mean_reversion,0.68827605,0.0,-0.3,long,490.44441279999995
2025-09-23 20:00:00,111998.8,Tendencia Alcista,0.0,mean_reversion,0.74084324,0.0,-0.3,long,490.7879228
2025-09-24 00:00:00,111683.09,Tendencia Bajista,0.0,mean_reversion,0.4986349,0.0,-0.3,long,490.47221279999997
2025-09-24 04:00:00,112583.54,Tendencia Bajista,0.0,momentum,0.51594913,-1.0,-0.3,long,491.37266279999994
2025-09-24 08:00:00,113029.46,Tendencia Alcista,0.0,momentum,0.606445,-1.0,-0.3,long,491.8185828
2025-09-24 12:00:00,113346.41,Tendencia Bajista,0.0,momentum,0.7392104,-1.0,-0.3,long,492.13553279999996
2025-09-24 16:00:00,113420.01,Tendencia Bajista,0.0,momentum,0.6072196,-1.0,-0.3,long,492.20913279999996
2025-09-24 20:00:00,113307.0,Tendencia Alcista,0.0,momentum,0.6436339,-1.0,-0.3,long,492.0961228
2025-09-25 00:00:00,112546.21,Alta Volatilidad/Pánico,0.0,momentum,0.62921613,-1.0,0.0,long,491.33533279999995
2025-09-25 04:00:00,111766.72,Lateral/Consolidación,0.0,momentum,0.50867033,-1.0,0.0,long,490.5558428
2025-09-25 08:00:00,111348.0,Tendencia Bajista,0.0,momentum,0.6104495,-1.0,0.0,long,490.1371228
2025-09-25 12:00:00,111580.77,Tendencia Alcista,0.0,momentum,0.63559955,-1.0,0.0,long,490.3698928
2025-09-25 16:00:00,109360.0,Tendencia Alcista,0.0,momentum,0.56880933,-1.0,0.0,long,488.1491228
2025-09-25 20:00:00,108994.49,Alta Volatilidad/Pánico,0.0,momentum,0.70321375,-1.0,0.0,short,488.0397628
2025-09-26 00:00:00,109580.01,Tendencia Alcista,0.0,mean_reversion,0.50400746,1.0,-0.3,short,487.34524831
2025-09-26 04:00:00,109320.02,Alta Volatilidad/Pánico,0.0,mean_reversion,0.62519866,0.0,-0.3,short,487.60523831
2025-09-26 08:00:00,109133.5,Alta Volatilidad/Pánico,0.0,mean_reversion,0.69180125,0.0,-0.3,short,487.79175831
2025-09-26 12:00:00,109027.78,Tendencia Alcista,0.0,mean_reversion,0.65484697,0.0,-0.3,short,487.89747831
2025-09-26 16:00:00,109172.2,Tendencia Bajista,0.0,mean_reversion,0.83267546,0.0,-0.3,short,487.75305831000003
2025-09-26 20:00:00,109643.46,Alta Volatilidad/Pánico,0.0,mean_reversion,0.71749276,0.0,-0.3,short,487.28179831
2025-09-27 00:00:00,109553.77,Tendencia Alcista,0.0,momentum,0.6390564,-1.0,-0.3,short,487.37148831
2025-09-27 04:00:00,109411.2,Lateral/Consolidación,0.0,momentum,0.5299847,-1.0,-0.3,short,487.51405831
2025-09-27 08:00:00,109310.21,Alta Volatilidad/Pánico,0.0,momentum,0.7462696,-1.0,-0.3,short,487.61504831
2025-09-27 12:00:00,109402.24,Alta Volatilidad/Pánico,0.0,momentum,0.6528185,-1.0,-0.3,short,487.52301831
2025-09-27 16:00:00,109424.2,Lateral/Consolidación,0.0,momentum,0.76578397,-1.0,0.0,short,487.50105831
2025-09-27 20:00:00,109635.85,Tendencia Alcista,0.0,momentum,0.70119846,-1.0,0.0,short,487.28940831
2025-09-28 00:00:00,109436.0,Tendencia Alcista,0.0,momentum,0.72474664,-1.0,0.0,short,487.48925830999997
2025-09-28 04:00:00,109513.06,Tendencia Alcista,0.0,momentum,0.53456455,-1.0,0.0,short,487.41219831
2025-09-28 08:00:00,109369.02,Tendencia Alcista,0.0,momentum,0.50411755,-1.0,0.0,short,487.55623831
2025-09-28 12:00:00,110037.93,Lateral/Consolidación,0.0,momentum,0.606732,-1.0,0.2,short,486.88732831000004
2025-09-28 16:00:00,110337.6,Alta Volatilidad/Pánico,0.0,mean_reversion,0.60609865,0.0,0.2,short,486.58765831
2025-09-28 20:00:00,112163.95,Tendencia Bajista,0.0,momentum,0.5349759,-1.0,0.2,short,484.76130831
2025-09-29 00:00:00,111857.51,Alta Volatilidad/Pánico,0.0,mean_reversion,0.71154356,-1.0,0.2,short,485.06774831
2025-09-29 04:00:00,111865.95,Alta Volatilidad/Pánico,0.0,breakout,0.73080516,0.0,0.2,short,485.05930831
2025-09-29 08:00:00,112100.0,Alta Volatilidad/Pánico,0.0,breakout,0.52676195,0.0,0.0,short,484.82525831
2025-09-29 12:00:00,113815.57,Alta Volatilidad/Pánico,0.0,breakout,0.6729492,0.0,0.0,short,483.10968831
2025-09-29 16:00:00,114265.55,Tendencia Bajista,0.0,momentum,0.63110256,-1.0,0.0,short,482.65970831
2025-09-29 20:00:00,114311.96,Tendencia Bajista,0.0,momentum,0.47861093,-1.0,0.0,short,482.61329831
2025-09-30 00:00:00,114376.39,Alta Volatilidad/Pánico,0.0,mean_reversion,0.6208219,-1.0,0.0,short,482.54886831
2025-09-30 04:00:00,113699.23,Tendencia Bajista,0.0,mean_reversion,0.5124613,0.0,-0.3,short,483.22602831
2025-09-30 08:00:00,113055.01,Tendencia Alcista,0.0,mean_reversion,0.45625257,0.0,-0.3,short,483.87024831
2025-09-30 12:00:00,113106.16,Lateral/Consolidación,0.0,mean_reversion,0.56131506,0.0,-0.3,short,483.81909831
2025-09-30 16:00:00,114359.99,Tendencia Alcista,0.0,mean_reversion,0.6757127,0.0,-0.3,short,482.56526830999996
2025-09-30 20:00:00,114048.93,Alta Volatilidad/Pánico,0.0,momentum,0.7066969,1.0,-0.3,short,482.87632831
2025-10-01 00:00:00,114176.92,Alta Volatilidad/Pánico,0.0,mean_reversion,0.73032767,0.0,-0.3,short,482.74833831
2025-10-01 04:00:00,114539.02,Lateral/Consolidación,0.0,mean_reversion,0.6295916,0.0,0.0,short,482.38623831
2025-10-01 08:00:00,116789.58,Tendencia Alcista,0.0,momentum,0.51263106,1.0,0.0,long,482.27169929
2025-10-01 12:00:00,117423.73,Tendencia Alcista,0.0,momentum,0.5126402,1.0,0.0,long,482.78906972
2025-10-01 16:00:00,117439.53,Tendencia Alcista,0.0,momentum,0.57439774,1.0,-0.3,long,482.80486972
2025-10-01 20:00:00,118594.99,Tendencia Alcista,0.0,momentum,0.65100944,1.0,-0.3,long,483.96032972
2025-10-02 00:00:00,118733.99,Tendencia Alcista,0.0,mean_reversion,0.8462291,-1.0,-0.3,long,484.09932972
2025-10-02 04:00:00,118489.76,Alta Volatilidad/Pánico,0.0,mean_reversion,0.53820264,0.0,-0.3,long,483.85509972
2025-10-02 08:00:00,118765.73,Tendencia Alcista,0.0,mean_reversion,0.77029777,0.0,-0.3,long,484.13106972
2025-10-02 12:00:00,119910.78,Tendencia Bajista,0.0,momentum,0.539592,1.0,-0.3,long,485.27611972
2025-10-02 16:00:00,120836.49,Tendencia Alcista,0.0,mean_reversion,0.5344123,0.0,-0.3,long,486.20182972000003
2025-10-02 20:00:00,120529.35,Lateral/Consolidación,0.0,mean_reversion,0.4564533,0.0,-0.3,long,485.89468972000003
2025-10-03 00:00:00,120225.89,Alta Volatilidad/Pánico,0.0,mean_reversion,0.7411724,0.0,-0.3,long,485.59122972
2025-10-03 04:00:00,119640.21,Alta Volatilidad/Pánico,0.0,momentum,0.54028445,1.0,-0.3,long,485.00554972000003
2025-10-03 08:00:00,120334.5,Tendencia Alcista,0.0,mean_reversion,0.68553114,0.0,-0.3,long,485.69983972
2025-10-03 12:00:00,122258.05,Tendencia Alcista,0.0,momentum,0.5174987,1.0,-0.3,long,487.62338972000003
2025-10-03 16:00:00,122660.99,Tendencia Alcista,0.0,mean_reversion,0.4932982,0.0,-0.3,long,488.02632972000004
2025-10-03 20:00:00,122232.0,Tendencia Alcista,0.0,mean_reversion,0.57531244,0.0,-0.3,long,487.59733972000004
2025-10-04 00:00:00,122243.99,Lateral/Consolidación,0.0,mean_reversion,0.8065378,0.0,-0.3,long,487.60932972
2025-10-04 04:00:00,122324.08,Tendencia Alcista,0.0,mean_reversion,0.6738567,0.0,-0.3,long,487.68941972000005
2025-10-04 08:00:00,121973.26,Alta Volatilidad/Pánico,0.0,mean_reversion,0.7838903,0.0,-0.3,long,487.33859972
2025-10-04 12:00:00,121791.31,Lateral/Consolidación,0.0,momentum,0.82318,1.0,-0.3,long,487.15664972
2025-10-04 16:00:00,121959.25,Tendencia Bajista,0.0,momentum,0.792138,1.0,0.0,long,487.32458972
2025-10-04 20:00:00,122391.0,Alta Volatilidad/Pánico,0.0,momentum,0.5766052,1.0,0.0,long,487.75633972
2025-10-05 00:00:00,123776.22,Tendencia Alcista,0.0,momentum,0.7327421,1.0,0.0,long,489.14155972000003
2025-10-05 04:00:00,124713.63,Alta Volatilidad/Pánico,0.0,mean_reversion,0.5255635,0.0,0.0,long,490.07896972000003
2025-10-05 08:00:00,123464.64,Tendencia Alcista,0.0,mean_reversion,0.8384417,-1.0,0.0,long,488.82997972
2025-10-05 12:00:00,122803.17,Tendencia Alcista,0.0,momentum,0.64171284,1.0,0.0,long,488.16850972
2025-10-05 16:00:00,122591.79,Lateral/Consolidación,0.0,mean_reversion,0.5886633,0.0,0.0,long,487.95712972
2025-10-05 20:00:00,123482.31,Alta Volatilidad/Pánico,0.0,momentum,0.50844854,1.0,0.0,long,488.84764972
2025-10-06 00:00:00,123839.09,Tendencia Alcista,0.0,mean_reversion,0.55721056,0.0,0.2,long,489.20442972
2025-10-06 04:00:00,123390.47,Lateral/Consolidación,0.0,momentum,0.891681,1.0,0.2,long,488.75580972
2025-10-06 08:00:00,124215.0,Alta Volatilidad/Pánico,0.0,momentum,0.64715326,1.0,0.2,long,489.58033972
2025-10-06 12:00:00,125000.0,Alta Volatilidad/Pánico,0.0,momentum,0.60276353,1.0,0.2,long,490.36533972
2025-10-06 16:00:00,125410.81,Tendencia Bajista,0.0,momentum,0.75652325,1.0,0.2,long,490.77614972000003
2025-10-06 20:00:00,124658.54,Tendencia Bajista,0.0,momentum,0.68900216,1.0,0.2,long,490.02387972
2025-10-07 00:00:00,124329.74,Lateral/Consolidación,0.0,mean_reversion,0.5096999,0.0,0.2,long,489.69507972
2025-10-07 04:00:00,123667.99,Alta Volatilidad/Pánico,0.0,momentum,0.6814054,1.0,0.2,long,489.03332972
